id,empresa_id,opcion_id,precio_tipo_id,indicador,codigo,descripcion,comentario,transferencia_tipo,moneda_id,organizador_defecto,precio_indicador,interfaz,accion_defecto_envio,estado,fecha_creacion,usuario_creacion,bien_unidad_medida_tipo
182,5,378,2,4,21,"Pedido personalizado Golf",NULL,0,2,NULL,2,0,6,1,"2017-11-07 15:29:07",1,3
183,5,379,2,4,,"Descargo de pedido Mall",NULL,0,2,NULL,2,0,6,1,"2017-11-07 16:03:36",1,3
184,5,381,2,4,7,"Pedidos a taller Golf",NULL,0,2,NULL,2,0,6,1,"2017-11-07 16:12:17",1,3
185,5,370,1,1,00,"Carga inicial",NULL,0,2,NULL,2,0,6,1,"2017-11-07 16:37:06",1,3
186,5,374,1,1,9,"Ingreso sistema Z. Mall",NULL,0,2,71,2,0,6,1,"2017-11-07 16:39:02",1,3
187,5,375,2,2,9,"Salida sistema Z. Mall",NULL,0,2,71,2,0,6,1,"2017-11-07 16:41:04",1,3
188,5,368,2,2,8,Salidas,NULL,0,2,71,2,0,6,1,"2017-11-07 16:47:54",1,3
189,5,369,1,1,9,Entradas,NULL,0,2,71,2,0,6,1,"2017-11-07 16:53:04",1,3
190,5,371,2,2,18,Cortesía,NULL,0,2,NULL,2,0,6,1,"2017-11-07 17:00:02",1,3
191,5,372,2,2,20,Transferencia,NULL,1,2,NULL,2,0,6,1,"2017-11-07 17:02:29",1,3
192,5,373,1,1,19,Recepción,NULL,2,2,NULL,2,0,6,1,"2017-11-07 17:06:33",1,3
193,4,384,1,1,22,Producción,NULL,0,2,60,2,0,6,1,"2018-01-09 19:44:34",1,3
