id,bien_id,unidad_medida_id,tipo,estado,fecha_creacion,usuario_creacion
4180,30,-1,3,1,"2017-06-28 08:32:18",1
4181,31,11,3,1,"2017-06-28 08:32:18",1
4182,32,39,3,1,"2017-06-28 08:32:18",1
4183,33,26,3,1,"2017-06-28 08:32:18",1
4184,34,-1,3,1,"2017-06-28 08:32:18",1
4185,35,37,3,1,"2017-06-28 08:32:18",1
4186,36,40,3,1,"2017-06-28 08:32:18",1
4187,37,26,3,1,"2017-06-28 08:32:18",1
4188,38,26,3,1,"2017-06-28 08:32:18",1
4189,39,16,3,1,"2017-06-28 08:32:18",1
4190,39,33,3,1,"2017-06-28 08:32:18",1
4191,40,16,3,1,"2017-06-28 08:32:18",1
4192,40,33,3,1,"2017-06-28 08:32:18",1
4193,41,15,3,1,"2017-06-28 08:32:18",1
4194,41,51,3,1,"2017-06-28 08:32:18",1
4195,42,51,3,1,"2017-06-28 08:32:18",1
4196,42,20,3,1,"2017-06-28 08:32:18",1
4197,43,-1,3,1,"2017-06-28 08:32:18",1
4198,43,3,3,1,"2017-06-28 08:32:18",1
4199,44,24,3,1,"2017-06-28 08:32:18",1
4200,44,26,3,1,"2017-06-28 08:32:18",1
4201,45,7,3,1,"2017-06-28 08:32:18",1
4202,46,-1,3,1,"2017-06-28 08:32:18",1
4203,46,19,3,1,"2017-06-28 08:32:18",1
4204,49,-1,3,1,"2017-06-28 08:32:18",1
4205,50,-1,3,1,"2017-06-28 08:32:18",1
4206,51,-1,3,1,"2017-06-28 08:32:18",1
4207,52,-1,3,1,"2017-06-28 08:32:18",1
4208,53,-1,3,1,"2017-06-28 08:32:18",1
4209,54,-1,3,1,"2017-06-28 08:32:18",1
4210,55,-1,3,1,"2017-06-28 08:32:18",1
4211,56,-1,3,1,"2017-06-28 08:32:18",1
4212,57,-1,3,1,"2017-06-28 08:32:18",1
4213,58,-1,3,1,"2017-06-28 08:32:18",1
4214,59,-1,3,1,"2017-06-28 08:32:18",1
4215,60,-1,3,1,"2017-06-28 08:32:18",1
4216,61,-1,3,1,"2017-06-28 08:32:18",1
4217,62,-1,3,1,"2017-06-28 08:32:18",1
