id,codigo,bien_id,cantidad_fabricado,otros_costos,estado,fecha_creacion,usuario_creacion
202,CS0043.R1,104,1,0.000000,1,"2018-02-02 23:21:48",9
203,CS0044.R1,105,1,0.000000,1,"2018-02-02 23:22:37",9
204,CS0045.R1,106,1,0.000000,1,"2018-02-02 23:23:08",9
205,CS0046.R1,107,1,0.000000,1,"2018-02-02 23:23:36",9
206,CS0047.R1,108,1,0.000000,1,"2018-02-02 23:24:13",9
207,CS0048.R1,109,1,0.000000,1,"2018-02-02 23:25:04",9
208,CS0049.R1,110,1,0.000000,1,"2018-02-02 23:25:34",9
209,CS0050.R1,111,1,0.000000,1,"2018-02-02 23:26:06",9
210,CS0051.R1,112,1,0.000000,1,"2018-02-02 23:26:53",9
211,CS0053.R1,114,1,0.000000,1,"2018-02-02 23:28:24",9
212,CS0054.R1,115,1,0.000000,1,"2018-02-02 23:29:21",9
213,CS0055.R1,116,1,0.000000,1,"2018-02-02 23:30:26",9
214,CS0060.R2,305,1,0.000000,1,"2018-02-02 23:33:18",9
215,CS0061.R3,306,1,0.000000,1,"2018-02-02 23:33:47",9
216,CS0062.R1,118,1,0.000000,1,"2018-02-02 23:34:35",9
217,CI0001.R1,187,1,0.000000,1,"2018-02-02 23:40:30",9
218,CI0002.R2,186,1,0.000000,1,"2018-02-02 23:41:31",9
219,CI0003.R1,188,1,0.000000,1,"2018-02-02 23:42:22",9
220,CI0004.R1,189,1,0.000000,1,"2018-02-02 23:43:09",9
222,FM0004.R1,153,1,0.000000,1,"2018-02-03 00:11:01",9
223,FM0008.R1,157,1,0.000000,1,"2018-02-03 00:17:11",9
225,CS0064.R1,337,1,0.000000,1,"2018-02-03 10:32:38",9
230,Q0007.R1,342,50,0.000000,1,"2018-02-04 21:06:37",9
231,Q0008.R1,344,46,0.000000,1,"2018-02-04 21:14:25",9
233,Q0010.R1,347,48,0.000000,1,"2018-02-04 23:03:55",9
235,Q0011.R1,349,48,0.000000,1,"2018-02-04 23:07:30",9
237,R0002.R1,354,1800,0.000000,1,"2018-02-04 23:29:02",9
242,R0005.R1,359,500,0.000000,1,"2018-02-04 23:34:38",9
243,P0124.R1,185,1,0.000000,1,"2018-02-04 23:37:40",9
244,R0006.R1,361,600,0.000000,1,"2018-02-04 23:50:23",9
245,R0007.R1,362,1000,0.000000,1,"2018-02-04 23:53:37",9
248,BS0002.R1,179,1,0.000000,1,"2018-02-05 00:09:11",9
249,BS0003.R1,180,1,0.000000,1,"2018-02-05 00:09:47",9
250,BS0004.R1,181,1,0.000000,1,"2018-02-05 00:10:20",9
251,BP001.R1,182,1,0.000000,1,"2018-02-05 00:10:48",9
252,BP002.R1,183,1,0.000000,1,"2018-02-05 00:11:21",9
253,BS0005.R1,184,1,0.000000,1,"2018-02-05 00:12:05",9
254,BI002.R1,191,1,0.000000,1,"2018-02-05 00:14:17",9
255,BI003.R1,192,1,0.000000,1,"2018-02-05 00:14:48",9
256,BI004.R1,193,1,0.000000,1,"2018-02-05 00:15:20",9
257,BI005.R1,194,1,0.000000,1,"2018-02-05 00:15:52",9
258,BI006.R1,195,1,0.000000,1,"2018-02-05 00:16:30",9
259,FG0004.R1,161,1,0.000000,1,"2018-02-05 00:24:29",9
281,R0008.R1,363,1000,0.000000,1,"2018-02-06 19:10:00",9
283,R0010.R1,365,1400,0.000000,1,"2018-02-06 19:14:03",9
284,R0011.R1,366,500,0.000000,1,"2018-02-06 19:33:16",9
288,R0013.R1,370,600,0.000000,1,"2018-02-06 19:41:04",9
290,R0015.R1,372,600,0.000000,1,"2018-02-06 19:45:08",9
291,R0016.R1,373,600,0.000000,1,"2018-02-06 19:46:46",9
298,CS0008.R2,71,1,0.000000,1,"2018-02-07 15:18:50",9
302,CS0019.R2,81,1,0.000000,1,"2018-02-07 17:18:49",9
315,CS0064.R3,339,1,0.000000,1,"2018-02-08 09:01:25",9
316,CS0065.R3,340,1,0.000000,1,"2018-02-08 09:02:17",9
329,CP0005.R1,374,1,0.000000,1,"2018-02-08 11:48:49",9
330,PF0001.R1,376,1,0.000000,1,"2018-02-08 12:41:53",9
331,PB0001.R1,377,1,0.000000,1,"2018-02-08 12:43:42",9
334,CS0063.R3,338,1,0.000000,1,"2018-02-12 10:57:56",9
340,CS0020.R5,303,1,0.000000,1,"2018-02-21 00:20:44",13
344,CS0062.R5,336,1,0.000000,1,"2018-02-21 00:24:44",13
348,CS0012.R4,74,1,0.000000,1,"2018-02-21 00:27:01",13
363,CS0009.R3,72,1,0.000000,1,"2018-03-13 17:14:14",13
364,CS0010.R5,304,1,0.000000,1,"2018-03-13 17:14:51",13
365,CS0011.R2,73,1,0.000000,1,"2018-03-13 17:15:28",13
366,CS0025.R3,86,1,0.000000,1,"2018-03-13 17:16:35",13
367,CS0057.R5,300,1,0.000000,1,"2018-03-13 17:17:09",13
368,CS0058.R4,311,1,0.000000,1,"2018-03-13 17:18:06",13
374,FG0001.R4,158,1,0.000000,1,"2018-03-16 20:10:28",13
378,FG0002.R2,159,1,0.000000,1,"2018-03-19 13:13:27",9
380,FG0007.R2,164,1,0.000000,1,"2018-03-19 13:16:21",9
381,FM0007.R2,156,1,0.000000,1,"2018-03-19 13:16:44",9
386,FZ0002.R5,171,1,0.000000,1,"2018-03-19 13:27:11",9
390,CF0003.R2,262,1,0.000000,1,"2018-03-19 23:11:58",13
391,CF0004.R3,265,1,0.000000,1,"2018-03-19 23:13:55",13
392,CF0008.R2,298,1,0.000000,1,"2018-03-19 23:14:56",13
393,FG0005.R5,162,1,0.000000,1,"2018-03-19 23:24:00",13
394,FM0001.R6,150,1,0.000000,1,"2018-03-19 23:32:56",13
395,FM0002.R3,151,1,0.000000,1,"2018-03-19 23:33:22",13
396,FM0005.R6,154,1,0.000000,1,"2018-03-19 23:36:48",13
397,FM0006.R4,201,1,0.000000,1,"2018-03-19 23:42:40",13
398,FI0001.R2,173,1,0.000000,1,"2018-03-19 23:43:33",13
400,FI0004.R4,176,1,0.000000,1,"2018-03-20 00:01:51",13
401,FZ0001.R5,170,1,0.000000,1,"2018-03-20 00:13:19",13
402,J0001.R1,393,1,0.000000,1,"2018-03-20 00:18:12",13
403,FG0016.R1,394,1,0.000000,1,"2018-03-20 00:21:53",13
404,J0002.R1,395,1,0.000000,1,"2018-03-20 00:24:14",13
405,FG0017.R1,396,1,0.000000,1,"2018-03-20 00:26:46",13
408,CS0066.R1,401,1,0.000000,1,"2018-03-22 10:30:18",9
409,cs0067.R1,402,1,0.000000,1,"2018-03-22 10:32:08",9
410,Q0001.R2,318,141,0.000000,1,"2018-03-22 17:31:51",13
411,LSC001.R1,406,1,0.000000,1,"2018-03-28 12:28:04",13
412,LSC002.R1,407,1,0.000000,1,"2018-03-28 12:29:22",13
413,LSb001.R1,408,1,0.000000,1,"2018-03-28 12:32:15",13
414,LSO001.R1,409,1,0.000000,1,"2018-03-28 12:35:44",13
416,LSO002.R1,411,1,0.000000,1,"2018-03-28 12:36:43",13
428,R0009.R2,364,2300,0.000000,1,"2018-04-26 10:56:28",9
431,Q0003.R2,329,91,0.000000,1,"2018-04-26 13:27:35",9
432,Q0009.R2,346,43,0.000000,1,"2018-04-27 09:45:13",9
433,R0004.R2,357,1000,0.000000,1,"2018-04-27 10:17:02",9
434,R0001.R3,353,1200,0.000000,1,"2018-04-27 10:18:41",9
435,G0001.R2,333,20,0.000000,1,"2018-04-27 10:26:44",9
436,CS0001.R11,302,1,0.000000,1,"2018-04-27 10:54:37",9
437,CS0002.R6,66,1,0.000000,1,"2018-04-27 10:55:57",9
438,CS0003.R6,67,1,0.000000,1,"2018-04-27 11:18:25",9
439,CS0004.R6,68,1,0.000000,1,"2018-04-27 11:26:05",9
440,CS0006.R6,69,1,0.000000,1,"2018-04-27 11:27:05",9
441,CS0007.R6,70,1,0.000000,1,"2018-04-27 12:30:53",9
445,CS0072.R1,425,1,0.000000,1,"2018-05-05 12:25:13",9
446,CS0073.R1,426,1,0.000000,1,"2018-05-05 12:26:04",9
447,CS0074.R1,427,1,0.000000,1,"2018-05-05 12:27:04",9
448,CS0075.R1,428,1,0.000000,1,"2018-05-05 12:28:04",9
449,CS0078.R1,430,1,0.000000,1,"2018-05-09 10:46:01",9
450,CS0077.R1,431,1,0.000000,1,"2018-05-09 10:47:40",9
451,CS0078.R1,432,1,0.000000,1,"2018-05-09 10:54:01",9
452,CS0079.R1,434,1,0.000000,1,"2018-05-17 10:27:09",13
453,FG0006.R4,202,1,0.000000,1,"2018-05-21 09:17:46",13
456,CM001.R1,437,1,0.000000,1,"2018-05-24 12:04:48",13
457,G0004.R1,438,1,0.000000,1,"2018-05-25 11:05:26",13
459,FI0003.R4,175,1,0.000000,1,"2018-05-28 12:09:23",13
460,CF0006.R2,266,1,0.000000,1,"2018-05-29 08:39:34",1
461,BS0001.R3,178,1,0.000000,1,"2018-05-31 10:52:49",9
464,RVB001.R1,444,1,0.000000,1,"2018-06-05 08:38:35",13
465,PB0002.R1,445,1,0.000000,1,"2018-06-05 14:48:54",13
466,PB0003.R1,446,1,0.000000,1,"2018-06-05 14:50:14",13
467,PB0004.R1,447,1,0.000000,1,"2018-06-05 14:51:21",13
471,CS0080.R1,452,1,0.000000,1,"2018-06-11 10:34:45",13
472,BS0006.R2,422,1,0.000000,1,"2018-06-13 09:32:53",13
473,CS0081.R1,454,1,0.000000,1,"2018-06-14 11:05:43",9
474,CF0009.R1,455,1,0.000000,1,"2018-06-20 15:27:23",13
475,CF0010.R1,456,1,0.000000,1,"2018-06-20 15:28:05",13
476,G0005.R1,457,1,0.000000,1,"2018-06-22 11:20:00",13
