"id";"empresa_id";"usuario_apertura_id";"fecha_apertura";"importe_apertura";"apertura_sugerido";"comentario_apertura";"is_pintar_apertura";"usuario_cierre_id";"fecha_cierre";"importe_cierre";"cierre_sugerido";"visa";"is_pintar_visa";"traslado";"deposito";"is_pintar_deposito";"comentario_cierre";"is_pintar_cierre";"estado";"usuario_creacion";"fecha_creacion"
374;3;19;"2018-04-18 18:13:43";260.0;260.0;"";0;19;"2018-04-18 21:36:04";260.0;260.0;0.0;0;263.0;0.0;0;"";0;1;19;"2018-04-18 18:13:43"
375;3;10;"2018-04-19 10:50:50";260.0;260.0;"";0;10;"2018-04-19 14:01:31";260.0;260.0;40.0;0;181.5;0.0;0;"";0;1;10;"2018-04-19 10:50:50"
376;5;18;"2018-04-19 11:45:50";152.0;152.0;"";0;18;"2018-04-19 17:12:36";152.0;152.0;0.0;0;43.0;0.0;0;"";0;1;18;"2018-04-19 11:45:50"
377;3;17;"2018-04-19 14:10:20";260.0;260.0;"";0;17;"2018-04-19 17:59:37";361.0;361.0;0.0;0;0.0;0.0;0;"";0;1;17;"2018-04-19 14:10:20"
378;5;18;"2018-04-19 17:14:23";152.0;152.0;"";0;18;"2018-04-19 21:05:55";152.0;152.0;28.5;0;50.5;0.0;0;"";0;1;18;"2018-04-19 17:14:23"
379;3;8;"2018-04-19 18:11:12";260.0;361.0;"";1;8;"2018-04-19 21:55:58";260.0;260.0;0.0;0;280.0;30.0;0;"";0;1;8;"2018-04-19 18:11:12"
380;5;11;"2018-04-20 10:15:06";152.0;152.0;"";0;11;"2018-04-20 14:08:04";152.0;152.0;37.0;0;114.0;0.0;0;"";0;1;11;"2018-04-20 10:15:06"
381;3;10;"2018-04-20 11:38:09";260.0;260.0;"";0;10;"2018-04-20 14:14:09";260.0;260.0;36.0;0;185.5;0.0;0;"";0;1;10;"2018-04-20 11:38:09"
382;3;17;"2018-04-20 14:32:08";260.0;260.0;"";0;17;"2018-04-20 18:17:01";260.0;260.0;40.0;0;65.0;0.0;0;"";0;1;17;"2018-04-20 14:32:08"
383;5;18;"2018-04-20 16:54:45";152.0;152.0;"";0;18;"2018-04-20 20:45:35";152.0;152.0;54.0;0;48.0;50.0;0;"";0;1;18;"2018-04-20 16:54:45"
384;3;8;"2018-04-20 18:25:10";260.0;260.0;"";0;8;"2018-04-20 21:47:24";260.0;260.0;51.0;0;167.0;0.0;0;"";0;1;8;"2018-04-20 18:25:10"
385;3;10;"2018-04-21 10:20:27";260.0;260.0;"";0;10;"2018-04-21 14:00:37";260.0;260.0;60.0;0;114.0;0.0;0;"";0;1;10;"2018-04-21 10:20:27"
386;5;18;"2018-04-21 12:03:02";152.0;152.0;"";0;18;"2018-04-21 14:00:37";152.0;152.0;0.0;0;131.0;0.0;0;"";0;1;18;"2018-04-21 12:03:02"
387;3;17;"2018-04-21 14:06:36";260.0;260.0;"";0;17;"2018-04-21 18:02:53";260.0;260.0;40.0;0;90.5;0.0;0;"";0;1;17;"2018-04-21 14:06:36"
388;5;11;"2018-04-21 17:03:08";152.0;152.0;"";0;11;"2018-04-21 17:06:30";152.0;152.0;0.0;0;0.0;0.0;0;"";0;1;11;"2018-04-21 17:03:08"
389;3;8;"2018-04-21 18:07:09";260.0;260.0;"";0;8;"2018-04-21 21:42:40";260.0;260.0;0.0;0;80.0;0.0;0;"";0;1;8;"2018-04-21 18:07:09"
390;5;11;"2018-04-21 20:09:08";152.0;152.0;"";0;11;"2018-04-21 20:14:19";152.0;152.0;0.0;0;0.0;0.0;0;"";0;1;11;"2018-04-21 20:09:08"
